processo_id,importador_ficticio,fornecedor_ficticio,pais_origem,porto_origem,navio_ficticio,porto_destino,eta_santos,data_prevista_desembaraco,status_academico,risco_academico,modal,incoterm_referencia,produto_generico,quantidade_containers,valor_fob_usd_estimado,frete_usd_estimado,seguro_usd_estimado,armazenagem_brl_estimada,observacoes_academicas
IMP-ACAD-0001,Alfa Trading Academica Ltda,Pacific Mock Suppliers,China,Xangai,MV Horizonte Didatico,Porto de Santos,2026-06-18,2026-06-25,Em transito,Baixo,Maritimo,FOB,Componentes industriais genericos,2,84500.00,6200.00,780.00,3400.00,Processo ficticio para demonstracao de acompanhamento.
IMP-ACAD-0002,Beta Importadora Escola Ltda,Europa Sample Exporters,Alemanha,Hamburgo,MV Aula Atlantica,Porto de Santos,2026-06-21,2026-06-29,Aguardando atracacao,Medio,Maritimo,CIF,Equipamentos laboratoriais genericos,1,52300.00,4100.00,510.00,2200.00,Valores estimados sem uso fiscal ou operacional.
IMP-ACAD-0003,Gamma Logistica Simulada Ltda,Mock Iberica Trade,Espanha,Valencia,MV Santos Simulado,Porto de Santos,2026-06-24,2026-07-02,Triagem documental academica,Baixo,Maritimo,FOB,Embalagens plasticas genericas,3,38600.00,5300.00,360.00,1800.00,Status criado apenas para fins academicos.
IMP-ACAD-0004,Delta Comex Universitario Ltda,Demo Foods Export,Argentina,Buenos Aires,MV Pratica Sul,Porto de Santos,2026-06-15,2026-06-20,Documentos pendentes,Medio,Maritimo,CFR,Insumos alimenticios genericos,1,24400.00,1800.00,240.00,1500.00,Nenhum dado representa mercadoria ou fornecedor real.
IMP-ACAD-0005,Epsilon Distribuidora Ficticia Ltda,North Sea Mock Co,Paises Baixos,Roterdam,MV Planilha Azul,Porto de Santos,2026-06-28,2026-07-05,Em transito,Baixo,Maritimo,CIF,Pecas de reposicao genericas,2,67750.00,5900.00,640.00,3100.00,Classificacao de risco sem equivalencia oficial.
IMP-ACAD-0006,Zeta Projetos Academicos Ltda,Andes Training Exporters,Chile,San Antonio,MV Caderno Pacifico,Porto de Santos,2026-06-17,2026-06-23,Conferencia academica,Alto,Maritimo,FOB,Materiais promocionais genericos,1,12800.00,2100.00,120.00,2600.00,Criado para exercicio de filtro e indicador.
IMP-ACAD-0007,Eta Import Simulada Ltda,Mock Asia Logistics,Coreia do Sul,Busan,MV Metodo Leste,Porto de Santos,2026-07-01,2026-07-09,Em transito,Medio,Maritimo,FOB,Dispositivos eletronicos genericos,4,143200.00,9800.00,1350.00,5200.00,Nao usar para decisao comercial ou aduaneira.
IMP-ACAD-0008,Theta Comercio Exterior Escola Ltda,Demo Gulf Trading,Emirados Arabes Unidos,Jebel Ali,MV Exemplo Global,Porto de Santos,2026-07-04,2026-07-12,Aguardando documentos,Baixo,Maritimo,CIF,Acessorios industriais genericos,2,47200.00,4500.00,430.00,2100.00,Processo academico sem integracao externa.
IMP-ACAD-0009,Iota Supply Chain Ficticia Ltda,Mock North America Inc,Estados Unidos,Norfolk,MV Simulador Norte,Porto de Santos,2026-06-30,2026-07-08,Aguardando atracacao,Medio,Maritimo,CFR,Ferramentas genericas,1,31900.00,3700.00,290.00,1950.00,Datas e valores inventados.
IMP-ACAD-0010,Kappa Estudos Logisticos Ltda,Demo India Exports,India,Mundra,MV Rota Didatica,Porto de Santos,2026-07-07,2026-07-16,Planejamento academico,Baixo,Maritimo,FOB,Tecidos genericos,3,58900.00,7200.00,540.00,2800.00,Incluido para ampliar a amostra de apresentacao.
